id,full_name,colloquial_name,location,city,state,country,color
ATL,Atlanta Hawks,hawks,Atlanta,Atlanta,Georgia,USA,#1F315C
BOS,Boston Celtics,celtics,Boston,Boston,Massachusetts,USA,#008446
BRK,Brooklyn Nets,nets,Brooklyn,Brooklyn,New York,USA,#000000
CHI,Chicago Bulls,bulls,Chicago,Chicago,Illinois,USA,#BC0637
CHO,Charlotte Hornets,hornets,Charlotte,Charlotte,North Carolina,USA,#1C0C65
CLE,Cleveland Cavaliers,cavs,Cleveland,Cleveland,Ohio,USA,#931631
DAL,Dallas Mavericks,mavs,Dallas,Dallas,Texas,USA,#1061AC
DEN,Denver Nuggets,nuggets,Denver,Denver,Colorado,USA,#4B90CD
DET,Detroit Pistons,pistons,Detroit,Detroit,Michigan,USA,#EC1C4D
GSW,Golden State Warriors,warriors,Golden State,Oakland,California,USA,#1A64B7
HOU,Houston Rockets,rockets,Houston,Houston,Texas,USA,#D31145
IND,Indiana Pacers,pacers,Indiana,Indianapolis,Indiana,USA,#002D62
LAC,L.A. Clippers,clippers,L.A.,Los Angeles,California,USA,#D0103C
LAL,L.A. Lakers,lakers,L.A.,Los Angeles,California,USA,#FDB827
MEM,Memphis Grizzlies,grizzlies,Memphis,Memphis,Tennessee,USA,#6189B9
MIA,Miami Heat,heat,Miami,Miami,Florida,USA,#BF2F38
MIL,Milwaukee Bucks,bucks,Milwaukee,Milwaukee,Wisconsin,USA,#104622
MIN,Minnesota Timberwolves,twolves,Minnesota,Minneapolis,Minnesota,USA,#005183
NOP,New Orleans Pelicans,pelicans,New Orleans,New Orleans,Louisiana,USA,#01295D
NYK,New York Knickerbockers,knicks,New York,New York City,New York,USA,#F36F21
OKC,Oklahoma City Thunder,thunder,Oklahoma City,Oklahoma City,Oklahoma,USA,#0A7EC2
ORL,Orlando Magic,magic,Orlando,Orlando,Florida,USA,#0474BC
PHI,Philadelphia 76ers,76ers,Philadelphia,Philadelphia,Pennsylvania,USA,#01337A
PHO,Phoenix Suns,suns,Phoenix,Phoenix,Arizona,USA,#391366
POR,Portland Trailblazers,blazers,Portland,Portland,Oregon,USA,#CE403C
SAC,Sacramento Kings,kings,Sacramento,Sacramento,California,USA,#393D94
SAS,San Antonio Spurs,spurs,San Antonio,San Antonio,Texas,USA,#000000
TOR,Toronto Raptors,raptors,Toronto,Toronto,Ontario,Canada,#CD1041
UTA,Utah Jazz,jazz,Utah,Salt Lake City,Utah,USA,#2C5234
WAS,Washington Wizards,wizards,Washington,Washington,D.C.,USA,#0C2340
other,Other,none,,,,,
